"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","W","Women","TOTAL","Total","2021","2021",13261742,,
"AUS","Australia","W","Women","TOTAL","Total","2022","2022",13478153,,
"AUS","Australia","W","Women","TOTAL","Total","2023","2023",13691796,,
"AUS","Australia","W","Women","TOTAL","Total","2024","2024",13902897,,
"AUS","Australia","W","Women","TOTAL","Total","2025","2025",14110622,,
"AUS","Australia","W","Women","TOTAL","Total","2026","2026",14315177,,
"AUS","Australia","W","Women","TOTAL","Total","2027","2027",14515531,,
"AUS","Australia","W","Women","TOTAL","Total","2028","2028",14714981,,
"AUS","Australia","W","Women","TOTAL","Total","2029","2029",14913239,,
"AUS","Australia","W","Women","TOTAL","Total","2030","2030",15110063,,
"AUS","Australia","M","Men","TOTAL","Total","2021","2021",13039532,,
"AUS","Australia","M","Men","TOTAL","Total","2022","2022",13248872,,
"AUS","Australia","M","Men","TOTAL","Total","2023","2023",13455403,,
"AUS","Australia","M","Men","TOTAL","Total","2024","2024",13659298,,
"AUS","Australia","M","Men","TOTAL","Total","2025","2025",13859813,,
"AUS","Australia","M","Men","TOTAL","Total","2026","2026",14057138,,
"AUS","Australia","M","Men","TOTAL","Total","2027","2027",14250203,,
"AUS","Australia","M","Men","TOTAL","Total","2028","2028",14442104,,
"AUS","Australia","M","Men","TOTAL","Total","2029","2029",14632638,,
"AUS","Australia","M","Men","TOTAL","Total","2030","2030",14821662,,
"AUS","Australia","T","Total","TOTAL","Total","2021","2021",26301274,,
"AUS","Australia","T","Total","TOTAL","Total","2022","2022",26727025,,
"AUS","Australia","T","Total","TOTAL","Total","2023","2023",27147199,,
"AUS","Australia","T","Total","TOTAL","Total","2024","2024",27562195,,
"AUS","Australia","T","Total","TOTAL","Total","2025","2025",27970435,,
"AUS","Australia","T","Total","TOTAL","Total","2026","2026",28372315,,
"AUS","Australia","T","Total","TOTAL","Total","2027","2027",28765734,,
"AUS","Australia","T","Total","TOTAL","Total","2028","2028",29157085,,
"AUS","Australia","T","Total","TOTAL","Total","2029","2029",29545877,,
"AUS","Australia","T","Total","TOTAL","Total","2030","2030",29931725,,
"AUT","Austria","W","Women","TOTAL","Total","2021","2021",4551125,,
"AUT","Austria","W","Women","TOTAL","Total","2022","2022",4569088,,
"AUT","Austria","W","Women","TOTAL","Total","2023","2023",4586014,,
"AUT","Austria","W","Women","TOTAL","Total","2024","2024",4602109,,
"AUT","Austria","W","Women","TOTAL","Total","2025","2025",4617991,,
"AUT","Austria","W","Women","TOTAL","Total","2026","2026",4633748,,
"AUT","Austria","W","Women","TOTAL","Total","2027","2027",4649213,,
"AUT","Austria","W","Women","TOTAL","Total","2028","2028",4664315,,
